campaign_id,campaign_name,start_date,end_date,product_id,channel,region,budget_usd,impressions,clicks,ctr,conversions,conversion_rate,revenue_usd,roi
CMP-00001,Nova Prime 24 Display Campaign,2022-02-22,2022-03-23,PRIME-24,Display,Middle East,113033,6061499,29855,0.0049,508,0.017,536448.0,3.75
CMP-00002,Nova Prime 24 Display Campaign,2022-02-16,2022-03-31,PRIME-24,Display,Asia Pacific,151936,2610854,19907,0.0076,323,0.0162,341088.0,1.24
CMP-00003,Nova Prime 24 Display Campaign,2021-12-12,2022-01-05,PRIME-24,Display,Middle East,65155,3087416,16845,0.0055,252,0.015,266112.0,3.08
CMP-00004,Nova Prime 23 Display Campaign,2022-06-21,2022-07-14,PRIME-23,Display,Europe,63429,6215943,33213,0.0053,477,0.0144,579555.0,8.14
CMP-00005,Nova Prime 23 Email Campaign,2022-07-21,2022-08-24,PRIME-23,Email,North America,15949,197842,22006,0.1112,979,0.0445,1189485.0,73.58
CMP-00006,Nova Prime 23 Social Media Campaign,2022-06-22,2022-07-28,PRIME-23,Social Media,Latin America,142267,3445997,18577,0.0054,496,0.0267,602640.0,3.24
CMP-00007,Nova Prime 22 Email Campaign,2022-12-25,2023-01-24,PRIME-22,Email,Latin America,37522,71700,12394,0.1729,653,0.0527,801884.0,20.37
CMP-00008,Nova Prime 22 Social Media Campaign,2023-01-09,2023-02-05,PRIME-22,Social Media,Asia Pacific,54728,4088179,57265,0.014,1450,0.0253,1780600.0,31.54
CMP-00009,Nova Flex Fold 24 TV Campaign,2021-12-08,2022-01-19,FLEX-FOLD-24,TV,Europe,825376,43757580,0,0.0,0,0.0,1073585.97,0.3
CMP-00010,Nova Flex Fold 24 Influencer Campaign,2021-12-18,2022-01-10,FLEX-FOLD-24,Influencer,Europe,104389,1289342,51831,0.0402,3453,0.0666,6484734.0,61.12
CMP-00011,Nova Flex Fold 24 Social Media Campaign,2021-12-04,2021-12-25,FLEX-FOLD-24,Social Media,Europe,164626,1819025,11040,0.0061,321,0.0291,602838.0,2.66
CMP-00012,Nova Flex Fold 23 Social Media Campaign,2022-07-30,2022-08-30,FLEX-FOLD-23,Social Media,Europe,197206,4706500,70297,0.0149,2074,0.0295,4371992.0,21.17
CMP-00013,Nova Flex Fold 23 Influencer Campaign,2022-08-03,2022-08-23,FLEX-FOLD-23,Influencer,Middle East,80801,1543739,75045,0.0486,4630,0.0617,9760040.0,119.79
CMP-00014,Nova Flex Fold 23 Social Media Campaign,2022-08-20,2022-09-26,FLEX-FOLD-23,Social Media,Latin America,73393,3168917,24223,0.0076,745,0.0308,1570460.0,20.4
CMP-00015,Nova Flex Flip 24 Display Campaign,2022-01-16,2022-02-02,FLEX-FLIP-24,Display,Middle East,99202,6956124,36468,0.0052,390,0.0107,452010.0,3.56
CMP-00016,Nova Flex Flip 24 Email Campaign,2022-02-09,2022-02-23,FLEX-FLIP-24,Email,Latin America,36772,176358,18544,0.1052,696,0.0376,806664.0,20.94
CMP-00017,Nova Flex Flip 24 Social Media Campaign,2021-12-31,2022-01-16,FLEX-FLIP-24,Social Media,Europe,72403,1897180,12790,0.0067,353,0.0276,409127.0,4.65
CMP-00018,Nova Flex Flip 23 Email Campaign,2022-06-07,2022-06-23,FLEX-FLIP-23,Email,North America,45522,183108,20869,0.114,1061,0.0509,1086464.0,22.87
CMP-00019,Nova Flex Flip 23 Influencer Campaign,2022-07-17,2022-08-20,FLEX-FLIP-23,Influencer,Middle East,96536,568152,16664,0.0293,1122,0.0674,1148928.0,10.9
CMP-00020,Nova Plus 24 Display Campaign,2022-02-22,2022-03-12,PLUS-24,Display,Latin America,126199,9338301,41395,0.0044,813,0.0197,626010.0,3.96
CMP-00021,Nova Plus 24 Display Campaign,2022-02-24,2022-03-10,PLUS-24,Display,North America,67708,7042949,23496,0.0033,256,0.0109,197120.0,1.91
CMP-00022,Nova Plus 24 Display Campaign,2021-12-11,2021-12-30,PLUS-24,Display,Europe,94455,3757422,25319,0.0067,500,0.0198,385000.0,3.08
CMP-00023,Nova Plus 23 Email Campaign,2022-08-08,2022-09-20,PLUS-23,Email,Middle East,40213,51627,7638,0.148,237,0.0312,158316.0,2.94
CMP-00024,Nova Plus 23 Influencer Campaign,2022-08-21,2022-10-02,PLUS-23,Influencer,Latin America,87898,1908659,79881,0.0419,5877,0.0736,3925836.0,43.66
CMP-00025,Nova Plus 22 Email Campaign,2023-02-22,2023-04-02,PLUS-22,Email,North America,48201,175107,20617,0.1177,1191,0.0578,794397.0,15.48
CMP-00026,Nova Plus 22 Email Campaign,2023-01-11,2023-02-14,PLUS-22,Email,Latin America,39583,194382,29081,0.1496,1562,0.0537,1041854.0,25.32
CMP-00027,Nova Lite 24 Search Campaign,2022-02-11,2022-03-08,LITE-24,Search,North America,118013,192260,8354,0.0435,665,0.0796,222775.0,0.89
CMP-00028,Nova Lite 24 Social Media Campaign,2022-02-25,2022-04-01,LITE-24,Social Media,Middle East,83306,4299924,35640,0.0083,965,0.0271,323275.0,2.88
CMP-00029,Nova Lite 23 Social Media Campaign,2022-06-18,2022-07-26,LITE-23,Social Media,Asia Pacific,181980,3776826,40612,0.0108,1437,0.0354,616473.0,2.39
CMP-00030,Nova Lite 23 Display Campaign,2022-08-03,2022-09-12,LITE-23,Display,North America,85979,8274735,51286,0.0062,668,0.013,286572.0,2.33
CMP-00031,Nova Lite 23 Email Campaign,2022-06-03,2022-06-28,LITE-23,Email,Middle East,49045,154867,25950,0.1676,1352,0.0521,580008.0,10.83
CMP-00032,Nova Lite 22 Search Campaign,2023-01-17,2023-02-02,LITE-22,Search,Asia Pacific,53317,223745,9343,0.0418,772,0.0827,305712.0,4.73
CMP-00033,Nova Lite 22 TV Campaign,2023-02-01,2023-02-22,LITE-22,TV,Europe,681561,33162586,0,0.0,0,0.0,343799.94,-0.5
CMP-00034,Nova Max 24 Display Campaign,2021-12-17,2022-01-11,MAX-24,Display,Latin America,59971,5246384,23920,0.0046,472,0.0198,459728.0,6.67
CMP-00035,Nova Max 24 Social Media Campaign,2022-02-06,2022-03-05,MAX-24,Social Media,Latin America,152256,1869579,16048,0.0086,428,0.0267,416872.0,1.74
CMP-00036,Nova Max 23 Display Campaign,2022-08-23,2022-09-11,MAX-23,Display,Asia Pacific,87103,2320042,18067,0.0078,201,0.0111,211854.0,1.43
CMP-00037,Nova Max 23 Social Media Campaign,2022-06-13,2022-07-20,MAX-23,Social Media,North America,130423,3795162,28593,0.0075,839,0.0294,884306.0,5.78
CMP-00038,Nova Max 23 Social Media Campaign,2022-08-02,2022-08-21,MAX-23,Social Media,Asia Pacific,102839,3841919,55482,0.0144,2135,0.0385,2250290.0,20.88
CMP-00039,Nova Mini 24 Display Campaign,2022-01-29,2022-02-20,MINI-24,Display,Asia Pacific,77478,9964630,40746,0.0041,693,0.017,503811.0,5.5
CMP-00040,Nova Mini 24 Display Campaign,2022-01-05,2022-01-21,MINI-24,Display,Latin America,58915,7099968,22709,0.0032,232,0.0102,168664.0,1.86
CMP-00041,Nova Mini 23 Email Campaign,2022-08-23,2022-09-20,MINI-23,Email,North America,21661,173093,18420,0.1064,572,0.0311,506792.0,22.4
CMP-00042,Nova Mini 23 Display Campaign,2022-06-06,2022-07-08,MINI-23,Display,Middle East,40092,8714517,29834,0.0034,406,0.0136,359716.0,7.97
CMP-00043,Nova Mini 23 Influencer Campaign,2022-08-29,2022-10-07,MINI-23,Influencer,Asia Pacific,77065,1402841,31877,0.0227,2469,0.0775,2187534.0,27.39
